Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Калениченко,Еріка,Антонівна,female,1990-04-16,Перекладач,село Запоріжжя,"вулиця Травневий 2-й, буд. 62, Дубровиця, 69722",+380 (29) 068-18-82,mdankiv@example.net
Чарниш,Сніжана,Алевтинівна,female,1947-08-21,Візажист,місто Бучач,"проспект Садова, буд. 6, Волочиськ, 03180",+380 50 631 01 05,sudovenko@example.net
Фаренюк,Ігнат,Арсенович,male,1949-07-05,Продюсер,село Білгород-Дністровський,"сквер Кримський, буд. 053, Лисичанськ, 39859",230-05-12,rozaliia25@example.net
Терещук,Климент,Августинович,male,2001-10-26,Електромонтажник,селище Кіцмань,"парк Чорноморський 4-й, буд. 7 кв. 242, Дубляни, 89512",071 274 36 27,alevtyn27@example.org
Чаленко,Марина,Макарівна,female,1970-01-02,Правник,село Глухів,"вулиця Аеропортівський 3-й, буд. 703 кв. 8, Покров, 24564",+380 (27) 535-99-49,fedirkaras@example.org
Данькевич,Клавдія,Вʼячеславівна,female,1943-12-08,Штукатур,хутір Подільськ,"шосе Савицький, буд. 91 кв. 966, Нововолинськ, 09880",149-07-62,adamabramenko@example.com
Демʼяненко,Аврелій,Гордійович,male,1993-08-17,Стропальник,місто Городище ,"набережна Романтиків, буд. 97, Глиняни, 58448",006 582-74-30,rozaliiashukhevych@example.com
Яковенко,Віра,Климентівна,female,1979-02-12,Нотаріус,село Вільнянськ,"проспект Середньофонтанський, буд. 9 кв. 8, Хуст, 10959",490 82 50,azarsatsiuk@example.org
Ємець,Зиновій,Єлисейович,male,1969-11-25,Адвокат,місто Нікополь,"парк Училищна, буд. 53, Переяслав, 90087",+380 80 889 72 60,mykhailyna58@example.org
Бабак,Оксана,Ааронівна,female,1989-06-01,Сантехнік,хутір Яворів,"провулок Ключовий 2-й, буд. 3, Чистякове, 48702",248 08 24,edyta13@example.org
Парасюк,Пріска,Вадимівна,female,1993-02-23,Доцент,місто Павлоград,"сквер Уральська, буд. 09 кв. 6, Кілія, 19630",047 272 37 65,qokhrymovych@example.net
Артимович,Марта,Феофанівна,female,1962-05-14,Бібліограф,хутір Попасна,"вулиця 15-та Суворовська, буд. 4 кв. 26, Лебедин, 52363",+380 (02) 969-18-60,orynaaleksiichuk@example.com
Стельмах,Варфоломій,Григорійович,male,1959-08-23,Літературознавець,місто Кролевець,"провулок Глазунова 1-й, буд. 736, Нікополь, 32479",056 106-63-19,valentynvyshyvana@example.org
Уманець,Андрій,Демʼянович,male,1966-07-18,Паблік рилейшнз,хутір Хуст,"вулиця Пілотна, буд. 9, Алчевськ, 62942",+380 42 930-65-59,kprokopovych@example.com
Зарудний,Геннадій,Тимофійович,male,1967-07-09,Дизайнер,село Снігурівка,"набережна Кладовищний, буд. 17 кв. 870, Краматорськ, 59114",008 152 40 43,viacheslavhupalo@example.com
Шаблій,Олександр,Тимофійович,male,1957-09-19,Кіноактор,місто Прип'ять ,"парк Тарутинська, буд. 104 кв. 0, Хмільник, 74266",+380 65 647-39-71,shylookhrim@example.net
Шеремета,Спас,Болеславович,male,2006-10-02,Електрик,місто Сорокине,"вулиця Шишкіна, буд. 518, Брянка, 66058",+380 86 136-03-86,ielysei13@example.net
Овсієнко,Геннадій,Прохорович,male,1984-09-16,Психолог,селище Кам'янське,"узвіз Свободи, буд. 3 кв. 977, Алчевськ, 80796",570 85 85,solomonsahal@example.org
Самойленко,Давид,Георгійович,male,1941-10-08,Гінеколог,село Бахмач,"проспект Лінія 33-тя, буд. 45, Джанкой, 22158",+380 51 305-47-94,eduardchaika@example.org
Левченко,Ярослава,Єлисеївна,female,1971-10-12,Будник,село Дружба ,"сквер Водопровідний 2-й, буд. 81 кв. 08, Володимир-Волинський, 24200",306-69-34,telizhenkovira@example.org
Чуприна,Едуард,Євгенійович,male,1966-08-24,Головний меркшейдер,хутір Здолбунів,"проспект Тракторна, буд. 13, Амвросіївка, 51769",+380 (91) 541-24-45,danieroshenko@example.net
Парасюк,Борислав,Зорянович,male,1963-10-17,Зоолог,хутір Дніпро ,"проспект Плієва, буд. 810 кв. 955, Ялта, 27685",574-96-47,bvoblyi@example.org
Яценюк,Богуслав,Васильович,male,1962-08-31,Музикант,хутір Монастириська,"провулок Велика Садова, буд. 852, Татарбунари, 10469",240 51 07,viktortytarenko@example.net
Арсенич,Анжела,Давидівна,female,1968-03-20,Електрослюсар,селище Хорол ,"вулиця Кифоренка Бориса, буд. 1, Боярка, 62521",+380 02 778-87-02,ibabii@example.com
Скирда,Антон,Валерійович,male,2007-10-14,Мінералог,селище Слов'янськ,"вулиця Косовська, буд. 804, Берестечко, 31009",+380 09 348 33 88,svitlana19@example.com
Овчаренко,Остап,Леонідович,male,1956-01-15,Швачка,хутір Угнів,"сквер Польовий 1-й, буд. 012 кв. 6, Рудки, 63269",002-78-27,kamilla09@example.org
Михалюк,Богуслава,Григоріївна,female,1941-04-26,Археолог,хутір Святогірськ,"шосе Дачний 1-й, буд. 545 кв. 55, Малин, 11719",+380 (87) 510-33-33,sachenkoazar@example.net
Бабак,Валерій,Георгійович,male,1992-05-02,Археолог,селище Мирноград,"парк Амбулаторний 1-й, буд. 190 кв. 785, Бобровиця, 02583",+380 84 785-45-34,zatovkaniukliudmyla@example.org
Вишняк,Сніжана,Трохимівна,female,1985-07-28,Кінорежисер,селище Старобільськ,"набережна Якірний, буд. 05, Шостка, 03676",080 524 66 27,ashevchenko@example.net
Лемешко,Пріска,Федорівна,female,1964-07-19,Мовознавець,місто Андрушівка,"площа Красносільська, буд. 366, Лохвиця, 94205",498 86 69,xshakhrai@example.com
Цимбалюк,Олесь,Августинович,male,1977-06-03,Клоун,місто Макіївка,"вулиця Біляївська, буд. 06, Першотравенськ, 07024",021 274 11 87,dsyrotenko@example.com
Івасюк,Марʼяна,Русланівна,female,1957-02-21,Фізик,селище Шахтарськ,"набережна Балтський 7-й, буд. 798 кв. 161, Бершадь, 65443",683 70 49,odarkaalekseienko@example.org
Бабариченко,Анастасія,Августинівна,female,1961-02-24,Клавішник,хутір Тараща,"сквер Кільцева, буд. 96, Броди, 55510",993-45-60,malekseienko@example.org
Єщенко,Антон,Святославович,male,1993-12-17,Маркетолог,село Благовіщенське,"парк Віри Фігнер, буд. 4 кв. 433, Тальне, 50363",+380 96 464-13-84,tkhorishko@example.com
Романенко,Віолетта,Петрівна,female,1994-02-26,Флорист,селище Чистякове,"сквер Костанді 2-й, буд. 444, Баштанка, 01938",077 931 15 58,myroslav88@example.com
Цюцюра,Валентина,Владиславівна,female,1969-05-25,Палеонтолог,місто Тростянець,"провулок Лузанівка, буд. 80, Зборів, 21577",326 99 35,wdatsiuk@example.org
Батіг,Гордій,Климентович,male,1957-08-10,Клоун,село Севастополь,"парк Трамвайний, буд. 841, Лутугине, 70629",+380 05 799 49 20,leopold42@example.com
Верменич,Михайлина,Леонідівна,female,1948-05-13,Археолог,хутір Докучаєвськ,"площа Слави, буд. 71, Нововолинськ, 93003",037 138 94 26,vatamaniukhordii@example.com
Бабʼяк,Тереза,Мартинівна,female,1978-12-18,Доцент,селище Дружківка,"шосе Райдужна, буд. 3, Васильків, 95311",094 794 41 39,toberemko@example.net
Давимука,Климент,Августинович,male,1958-03-06,Фотограф,селище Львів,"набережна Флотський 1-й, буд. 087, Бібрка, 07761",+380 92 300-77-57,panasgerus@example.net
Дейсун,Михайлина,Едуардівна,female,1974-01-25,Продюсер,хутір Андрушівка,"площа Восьмого Березня Лінія 2-га, буд. 3 кв. 1, Тульчин, 40586",819 74 04,gtereshchenko@example.net
Бабʼяк,Федір,Олесьович,male,1964-11-10,Бухгалтер,селище Сімферополь,"набережна Садиковська, буд. 99 кв. 6, Шумськ, 74280",520 36 13,malyknazar@example.net
Атаманюк,Наталія,Пилипівна,female,1940-09-15,Фермер,місто Щастя ,"вулиця Дорбуду, буд. 87 кв. 526, Біляївка, 97776",952 00 27,kvenhrynovych@example.org
Овчаренко,Арсен,Яковович,male,1952-12-27,Ріелтор,хутір Скадовськ,"шосе Косвена, буд. 113, Чернівці, 72083",+380 25 638-96-85,iakivsomko@example.net
Таран,Маруся,Несторівна,female,1940-04-16,Історик,місто Борщів,"проспект Чумацька, буд. 63 кв. 45, Калинівка , 21260",899 69 49,emiliia23@example.org
Бараник,Олесь,Соломонович,male,2006-03-09,Письменник,хутір Славута,"набережна Вєтрова, буд. 653, Костянтинівка, 20320",094 821 06 86,iashchenkosvitlana@example.org
Сімашкевич,Святослава,Федорівна,female,1999-01-19,Дантист,селище Полтава,"узвіз Садова, буд. 9 кв. 306, Кілія, 33643",+380 (42) 670-52-40,ivanychukpanteleimon@example.org
Колодуб,Єлисавета,Микитівна,female,1950-10-22,Співак,село Вашківці,"вулиця Лінія 31-ша, буд. 53, Соснівка , 41444",031 902 40 01,cdanko@example.com
Вакарчук,Панас,Костянтинович,male,1971-05-22,Різноробочий,селище Бахмач,"провулок Шефська, буд. 3, Снігурівка, 49887",026 758-74-57,shvachkodanylo@example.com
Колесниченко,Оксенія,Опанасівна,female,1972-12-15,Драматург,село Гірник ,"набережна Гена Іоганна, буд. 0, Тернопіль, 83808",015 495 62 81,tkalchenko@example.net
Шило,Пармен,Максимович,male,1996-06-16,Палеонтолог,селище Умань,"провулок Улітіна, буд. 020 кв. 4, Пустомити, 18418",+380 48 154-37-77,wandriiovych@example.org
Скирда,Святослав,Миколайович,male,1999-04-29,Складальник,місто Жидачів,"набережна Шовкуненка, буд. 811, Географія Вільнянська, 47927",531-83-24,sliusarmariia@example.net
Гайденко,Степан,Михайлович,male,1993-09-14,Модельєр,хутір Буча,"узвіз Лінія 51-ша, буд. 510 кв. 19, Старобільськ, 57616",+380 98 154-68-84,parasiukielysei@example.org
Скоробогатько,Дарина,Гаврилівна,female,1962-10-01,Намотувальник,селище Буринь,"проспект Шовкуненка, буд. 3, Южноукраїнськ, 74551",+380 13 669-49-63,zlatoslava89@example.org
Пушкар,Сніжана,Юстимівна,female,1948-06-27,Секретар,село Новояворівськ,"шосе Баштанна, буд. 60, Карлівка, 32050",+380 (50) 598-76-21,amaliia34@example.com
Шило,Юстина,Васильівна,female,1994-04-08,Актор,село Чернігів,"шосе 11-та Суворовська, буд. 2, Довжанськ, 75014",099 751-01-68,klymentiurchyshyna@example.org
Тесля,Любов,Юстимівна,female,1950-01-12,Єгер,селище Рені,"площа Контрадмірала Луніна, буд. 7 кв. 832, Кам'янка-Дніпровська, 80582",+380 05 041 67 86,mbaidak@example.org
Онуфрієнко,Анастасія,Лесівна,female,1992-08-16,Музикознавець,селище Вашківці,"узвіз Центральний аеропорт, буд. 154, Кременець, 46479",864 03 03,babkopetro@example.org
Свистун,Зиновій,Пантелеймонович,male,1986-12-15,Піаніст,хутір Великі Мости,"сквер Матеріальний 1-й, буд. 8, Немирів, 42983",004 990-89-28,cherednykavrelii@example.com
Дашкевич,Марія,Данівна,female,2000-09-28,Сантехнік,хутір Вашківці,"проспект Амурська, буд. 198, Немирів, 77418",+380 25 270-28-92,ochuiko@example.net
Лагода,Володимира,Миколаївна,female,1979-03-01,Детектив,село Інкерман,"узвіз Пересипська 1-ша, буд. 111, Тисмениця, 53904",094 583 54 99,svitlana44@example.net
Онищенко,Юстина,Прохорівна,female,2000-01-15,Візажист,село Олевськ,"узвіз Нерубайська, буд. 1, Ніжин, 17048",532-83-66,marynatytarenko@example.org
Вовк,Наталія,Георгіївна,female,1999-06-03,Астроном,місто Моршин,"узвіз Зоряна, буд. 9, Бунге , 97855",043 174 23 73,varfolomii52@example.com
Затула,Алла,Арсенівна,female,1940-05-14,Сантехнік,місто Новий Буг,"узвіз Локомотивний 2-й, буд. 79 кв. 508, Ірміно, 99907",090 353-31-68,kvashchuk@example.org
Колодуб,Давид,Михайлович,male,1940-02-19,Слідчий,місто Могилів-Подільський,"площа Литовська, буд. 380 кв. 225, Сновськ, 76428",+380 87 867 70 43,atamaniuklukian@example.net
Рубан,Борислав,Ярославович,male,1995-08-17,Реставратор,село Лохвиця,"узвіз 14-та Суворовська, буд. 27, Попасна, 14345",+380 97 233 20 70,bskyrda@example.org
Бабиченко,Розалія,Остапівна,female,1953-02-03,Дантист,селище Авдіївка,"парк Бібліотечна, буд. 3, Чуднів, 75069",968 36 20,ztalan@example.net
Яремків,Ростислав,Антонович,male,1977-12-08,Штукатур,селище Бахчисарай,"проспект 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 71, Глобине, 52902",+380 02 749-01-03,adavakulenko@example.com
Дзиндра,Христина,Орхипівна,female,1970-06-24,Психолог,селище Житомир,"площа Морський, буд. 3 кв. 7, Селидове, 73959",042 458-29-13,martyniarema@example.com
Ємельяненко,Ірена,Охрімівна,female,1973-09-27,Кушнір,селище Лозова ,"шосе Академічний, буд. 231 кв. 800, Ялта, 52460",014 480 07 96,dbabiuk@example.net
Конопленко,Еріка,Остапівна,female,2005-12-01,Кур'єр,село Мостиська,"шосе Маяковського, буд. 06 кв. 609, Снігурівка, 15872",+380 10 937 17 45,iustynachala@example.org
Дубас,Христина,Едуардівна,female,1972-09-11,Музичний редактор,хутір Святогірськ,"сквер Чорноморський 3-й, буд. 8 кв. 8, Донецьк, 81285",+380 01 630-44-49,trokhymirvanets@example.com
Артимишин,Богодар,Трохимович,male,1974-06-26,Гицель,селище Носівка,"площа Роздольна, буд. 375 кв. 5, Полтава, 70895",+380 23 714 08 84,ostapievtushenko@example.net
Носаченко,Клавдія,Максимівна,female,1999-05-31,Фольклорист,хутір Вугледар,"узвіз Юхима Геллера, буд. 480 кв. 144, Вижниця, 74155",+380 69 927-08-22,klavdiia39@example.org
Баклан,Варфоломій,Симонович,male,2000-10-06,Медик,місто Гайворон,"узвіз Селищна, буд. 010 кв. 125, Любомль, 47083",+380 94 961-07-89,siakymenko@example.com
Тарасенко,Орися,Бориславівна,female,1984-12-20,М'ясник,селище Федорівка,"набережна Астрономічний, буд. 490, Немирів, 27363",989 21 79,iustynavertyporokh@example.com
Мазепа,Лілія,Богданівна,female,1942-09-12,Бібліотекар,хутір Суходільськ,"парк Аеропортівський 3-й, буд. 411, Костянтинівка, 89803",014 195 53 58,veniiamyn09@example.org
Рубець,Тереза,Пантелеймонівна,female,1958-09-23,Мовознавець,село Рені,"узвіз 12-та Суворовська, буд. 123 кв. 33, Верхньодніпровськ, 82697",495-06-64,valentyna18@example.org
Верховинець,Марина,Мартинівна,female,1962-07-18,Ветеринар,хутір Дебальцеве,"проспект Міцкевича, буд. 3, Любомль, 22342",089 404 28 44,oles58@example.net
Іщенко,Лариса,Антонівна,female,1975-03-09,Палеонтолог,село Ковель,"вулиця Ліверпульський, буд. 996, Хрестівка, 91649",091 155 09 31,iereskokhrystyna@example.org
Теліженко,Костянтин,Стефанович,male,1951-07-25,Візажист,селище Слов'янськ,"парк 3-тя Лінія Марії Демченко, буд. 4 кв. 59, Жмеринка, 78828",084 640 95 36,sliusarkhoma@example.com
Гайда,Семен,Азарович,male,1978-07-15,Шериф,місто Олександрівськ,"узвіз Ангарська, буд. 295 кв. 1, Київ, 64010",396 47 75,vieremenko@example.com
Рубець,Едита,Валеріївна,female,1971-10-31,Гірничий інженер,хутір Остер ,"проспект Отрадна, буд. 01 кв. 13, Ізяслав, 91987",+380 81 616-73-85,nadiia11@example.com
Шеремет,Орхип,Климентович,male,1971-09-06,Пекар,село Звенигородка,"набережна Пастера, буд. 358, Дубляни, 85158",023 943 43 77,zaichenkorostyslav@example.org
Заїка,Ірина,Арсенівна,female,1993-02-09,Психолог,місто Вижниця,"провулок Лазурний 3-й, буд. 34, Помічна, 35120",749-91-91,tsushkolukian@example.net
Юрчук,Аркадій,Миколайович,male,1976-02-18,Слідчий,село Чугуїв,"узвіз Керченський 3-й, буд. 31, Фастів, 14894",099 969 17 89,somkoolha@example.net
Бараник,Едуард,Борисович,male,2004-12-04,Петрограф,селище Феодосія,"шосе Преображенська, буд. 19, Ворожба, 51038",612 58 52,okseniiadzhun@example.net
Артеменко,Лілія,Миколаївна,female,1992-09-04,Акушер,селище Курахове,"шосе Зоопаркова, буд. 3, Інкерман, 89297",062 310 38 99,martasatsiuk@example.com
Хорішко,Богуслава,Устимівна,female,1958-11-08,Євнух,хутір Луганськ,"проспект Рівності, буд. 876, Ананьїв, 97861",+380 18 903-05-94,nataliia14@example.net
Фартушняк,Мілена,Францівна,female,1941-07-27,Музикознавець,хутір Торецьк,"узвіз Лиманчик 2-й Лінія 1-ша, буд. 37 кв. 698, Костянтинівка, 53419",097 956 23 78,zkybkalo@example.net
Тарасенко,Анастасія,Сергіївна,female,1947-06-16,Стиліст,село Кодима,"площа Кутузова, буд. 471 кв. 95, Буча, 24218",+380 43 255-98-52,yzakharchenko@example.org
Шеремет,Соломон,Хомович,male,1984-12-24,Намотувальник,село Немирів,"проспект Гетьманський, буд. 5 кв. 712, Радомишль, 54163",013 440-05-30,arkadii13@example.net
Базавлученко,Вікторія,Болеславівна,female,1962-06-01,Штукатур,село Лутугине,"парк 21-й км Старокиївської дороги, буд. 3 кв. 8, Голубівка, 65804",167 83 71,marta16@example.net
Верховинець,Нестор,Орестович,male,1940-01-13,Бізнесмен,село Ужгород,"шосе Матроська Слобідка, буд. 868 кв. 250, Лутугине, 10254",+380 56 409-75-19,niarema@example.org
Чайка,Анастасія,Зорянівна,female,2006-04-24,Історик,селище Довжанськ,"площа Осіння, буд. 497 кв. 38, Балаклія, 93279",051 224-99-17,devdiukalbina@example.com
Матвієнко,Владислав,Омелянович,male,1952-10-12,Менеджер,місто Зіньків,"проспект Курганська, буд. 602 кв. 14, Винники, 03024",+380 85 062-84-25,tiahnybokviacheslav@example.net
Фастенко,Франц,Ростиславович,male,1946-04-02,Стиліст,хутір Хуст,"проспект Дворянська, буд. 288, Нова Одеса, 93431",+380 60 735-14-79,radchenkoamvrosii@example.com
Бабʼюк,Симон,Охрімович,male,1982-02-03,Мовознавець,селище Герца,"проспект Зелений, буд. 96, Дубляни, 41485",033 019-45-57,zkonoplia@example.com
Литвиненко,Олена,Степанівна,female,1989-03-13,Біолог,селище Дружківка,"проспект Мечникова, буд. 4 кв. 510, Федорівка, 06625",+380 31 998 49 22,ihnatavramenko@example.com
Гук,Левко,Глібович,male,1951-08-10,Публіцист,селище Лохвиця,"шосе Круговий, буд. 320, Новодружеськ, 50180",+380 40 165-57-59,barabashvioletta@example.org
Жук,Юстим,Леонідович,male,1941-06-29,Пілот,селище Городня,"проспект Старопортофранківська, буд. 50 кв. 454, Харцизьк, 94122",+380 15 484-28-45,solomonustenko@example.org
Литвиненко,Орина,Микитівна,female,1966-09-22,Намотувальник,селище Слов'янськ,"парк Ремонтна, буд. 170 кв. 60, Миргород, 91695",+380 85 716-59-95,fpavlenko@example.org
Конопленко,Юстим,Валентинович,male,2005-11-29,Ювелір,місто Токмак,"узвіз Тупиковий 2-й, буд. 902, Гребінка, 70391",033 833 28 98,hanna22@example.org
Зінчук,Єва,Антонівна,female,1979-03-12,Євнух,хутір Балта,"набережна Єфімова, буд. 578, Сокаль, 22760",966 55 49,hordiitsushko@example.com
Дахно,Володимира,Михайлівна,female,1972-11-07,Краєзнавець,село Люботин,"сквер Санітарна, буд. 851, Жидачів, 35664",+380 51 578 53 44,serhiiandriishyna@example.org
Оробець,Кирило,Валентинович,male,1998-11-21,Адвокат,селище Новодністровськ,"набережна Ключовий 2-й, буд. 66 кв. 94, Виноградів, 41174",482-46-60,iaremkooksana@example.com
Башполченко,Маруся,Опанасівна,female,1942-07-09,Єгер,село Покров,"сквер Посівна, буд. 482, Красноперекопськ, 29444",273-09-03,jchubai@example.com
Христенко,Святослава,Станіславівна,female,1964-11-11,Фрілансер,село Сновськ,"шосе Героїв оборони Одеси, буд. 190 кв. 8, Лутугине, 34927",+380 10 278-12-11,myron41@example.com
Остапчук,Тарас,Георгійович,male,2000-01-12,Бібліограф,місто Єнакієве,"набережна Осипова, буд. 9, Зимогір'я, 01550",531 14 98,fedir44@example.com
Бабич,Вадим,Ігнатович,male,1986-10-25,Реставратор,селище Рахів,"провулок Кільовий, буд. 86 кв. 4, Кам'янка-Дніпровська, 62366",017 343 33 11,rozaliia30@example.org
Журба,Камілла,Валеріївна,female,1988-11-21,Круп'є,місто Білгород-Дністровський,"набережна Болгарська, буд. 63 кв. 0, Приморськ (Україна), 50581",027 165-37-74,iarema69@example.net
Андріїшин,Марина,Давидівна,female,2003-06-08,Державний службовець,місто Южноукраїнськ,"набережна Висоцького, буд. 887, Шпола, 10846",+380 32 825-20-84,leonidiashchenko@example.net
Гузенко,Христина,Дмитріївна,female,1981-07-19,Дерун,селище Гребінка,"площа Зернова, буд. 8 кв. 1, Первомайський , 78133",+380 49 460-63-38,ostapandriievych@example.org
Удовиченко,Аврелій,Леопольдович,male,2004-06-14,Гірник,село Кам'янське,"площа Гонтаренко, буд. 5 кв. 427, Вашківці, 17326",197-37-96,paliinataliia@example.net
Савенко,Спас,Амвросійович,male,2001-12-25,Антрополог,село Люботин,"площа Сергія Ядова, буд. 90, Калинівка , 91819",+380 08 345 25 55,okhrim05@example.net
Скиба,Єлисавета,Пантелеймонівна,female,2002-05-04,Кур'єр,хутір Чернігів,"площа Львівський, буд. 5 кв. 67, Сокаль, 42368",023-43-30,tlytvyn@example.com
Бабʼюк,Златослава,Назарівна,female,2001-08-13,Журналіст,селище Хрустальний,"сквер Технічний, буд. 49 кв. 8, Корюківка, 32369",+380 10 552-26-02,hannadevdiuk@example.net
Єсипенко,Розалія,Августинівна,female,1980-07-11,Гірничий інженер,хутір Заводське,"проспект В’ячеслава Чорновола, буд. 767 кв. 195, Вишневе , 60669",+380 93 218 40 40,fbashtan@example.net
Чубай,Ірена,Прохорівна,female,1953-06-07,Гінеколог,селище Іллінці,"вулиця Яблунева, буд. 64, Ладижин, 83054",015 163-78-31,baronets@example.net
Макаренко,Михайло,Глібович,male,1988-02-12,Випробувач,хутір Великі Мости,"площа Разумовська, буд. 1 кв. 137, Хрустальний, 64263",342 40 78,oberemkomyroslav@example.net
Фесенко,Альбіна,Артемівна,female,2008-01-25,Модельєр,селище Полтава,"шосе Ашгабатська, буд. 42, Донецьк, 91180",061 859 41 04,serhii53@example.org
Гриценко,Ярема,Глібович,male,2007-01-14,Паралегал,хутір Дружківка,"вулиця Інтернаціональний, буд. 8, Горішні Плавні, 89397",023 088 50 39,rhutsuliak@example.org
Забара,Алевтин,Олексович,male,1974-05-25,Каскадер,місто Монастирище,"набережна Творча, буд. 96 кв. 5, Селидове, 38904",025 924 98 04,opanas67@example.net
Філіпенко,Герман,Варфоломійович,male,1946-08-02,Науковець,місто Здолбунів,"проспект Михайла Божія, буд. 0 кв. 62, Деражня, 69174",021 371-68-81,tsushkosolomon@example.net
Ейбоженко,Єфрем,Захарович,male,2002-05-05,Підприємець,хутір Буча,"набережна Мала, буд. 26, Дубровиця, 37314",+380 64 005 34 82,qredko@example.net
Юрчук,Григорій,Бориславович,male,1962-11-02,Географ,селище Городенка,"набережна Олександра Невського, буд. 447, Кривий Ріг, 91799",+380 70 299-79-07,solomonbatiuk@example.com
Худобʼяк,Ярина,Лесівна,female,1947-03-14,Палеонтолог,село Лозова ,"площа Угорська, буд. 11 кв. 77, Березне, 07092",280 39 69,nazar45@example.net
